nombre,tiempo de juego,monedas,fecha,nivel
dennys,30,5,2018-08-11,4
asd,7,0,2018-08-19,3
asd,7,0,2018-08-19,3
marco,31,0,2018-08-19,1
as,16,0,2018-08-19,3
asd,14,0,2018-08-20,2
asdd,25,12,2018-08-20,1
asd,28,0,2018-08-22,1
wad,1,0,2018-08-22,2
kdskskdn,58,0,2018-08-23,1
kdskskdn,58,0,2018-08-23,1
dff,27,0,2018-08-23,1
jbhh,48,12,2018-08-23,1
llm,3,0,2018-08-23,3
asdas,60,16,2018-08-23,1
kkj,8,0,2018-08-23,1
ssa,1,0,2018-08-25,1
ZXz,60,7,2018-08-25,1
wad,5,1,2018-08-25,1
lopez,10,7,2018-08-25,4
sada,18,1,2018-08-25,1
das,3,0,2018-08-26,1
